# BEARINGS

## FROM EA1/AV-009 - Pico Moros (2060 msnm) [10 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA4/MD-029	143.27	-35.43	Porrejon. 1823m MHz	273.16 km  EA4BVW
EA4/MD-056	155.45	-23.61	Cabeza Mediana - 1330m MHz	286.19 km  EA4HNZ, EA4RCW, EA4HLP
EA5/AB-015	140.9	-36.24	Oliva, 1152 m MHz	602.9 km  EA5NU
EA5/AT-059	140.03	-36.94	Serra del Flare, 1044 m. MHz	627.22 km  EA5IYL

## FROM EA1/LE-120 - Amargones (1897 msnm) [8 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AV-009	171.04	-8.63	Pico Moros 2062m MHz	270.44 km  EA4HIH
EA1/BU-004	111.21	-66.96	Campiña 2049m MHz	239.95 km  EA2EUS
EA1/BU-016	79.53	-98.97	Picón Blanco (1.520 m) MHz	182.96 km  EA1FOV/p
EA1/BU-030	113.79	-64.69	Muela 1375 MHz	203.59 km  EB1ESK
EA1/LE-023	54.56	-125.19	Agujas, 2143 m. MHz	35.57 km  EA1AER
EA1/LE-120	180.0	0.0	Amargones - 1897m MHz	0.0 km  EA1FLU
EA1/SG-001	145.48	-33.32	Peñalara 2428m MHz	268.03 km  EA4IFC, EA4IIJ
EA1/SG-005	147.5	-31.35	Siete Picos 2137 m MHz	271.0 km  EA9ADD
EA1/SG-017	150.54	-28.4	Cabeza Líjar (1822 m) MHz	274.49 km  EA4IZ
EA1/SO-007	105.44	-72.32	Cabezo de Piqueras, 1930 m MHz	283.73 km  EA2BD
EA1/SO-009	105.75	-71.9	ALTO DEL HAYEDO, 1719 m. MHz	298.5 km  EA2DNO, EA2DCA
EA2/NV-021	84.99	-92.15	Saioa 1417m MHz	343.22 km  EA2FDI
EA2/VI-006	94.93	-83.04	TOLOÑO 1269 MHz	246.4 km  EA2CON
EA3/BC-004	94.28	-80.65	Gallina Pelada, 2320m MHz	620.07 km  EA3AJ
EA3/GI-011	92.78	-82.04	Tossa d’Alp - 2.536 m MHz	630.5 km  EA3IKB
EA3/GI-016	97.05	-77.47	Matagalls 1697m MHz	680.55 km  EA3HIG
EA3/LL-050	97.34	-78.26	Castell de Sant Alis 1675 m. MHz	544.09 km  EA3HQR, EA3IED
EA3/TA-036	103.21	-71.96	Roca Ferrana (789 m) MHz	617.91 km  EA3GRW
EA4/GU-002	134.17	-44.31	Cerrón 2.196 metros MHz	267.15 km  EA4HGT
EA4/GU-050	129.08	-49.11	Alto Rey MHz	291.61 km  EA4DE
EA4/MD-002	145.79	-33.0	Cabezas de Hierro 2227 Metros MHz	273.8 km  EA4GDK, EA4IKY
EA4/MD-007	146.72	-32.09	Maliciosa 2227 MHz	275.21 km  EA4HOD
EA4/MD-012	134.84	-43.68	Tres Provincias. 2127 metros. MHz	262.43 km  EA4GVU
EA4/MD-029	135.64	-42.82	Porrejon. 1823m MHz	276.4 km  EA4BVW
EA4/MD-056	148.08	-30.74	Cabeza Mediana - 1330m MHz	281.8 km  EA4HNZ, EA4RCW, EA4HLP
EA5/AB-015	137.31	-39.6	Oliva, 1152 m MHz	606.36 km  EA5NU
EA5/AT-059	136.58	-40.17	Serra del Flare, 1044 m. MHz	631.18 km  EA5IYL

## FROM EA1/SG-001 - Peñalara (2428 msnm) [10 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AV-009	-111.68	67.47	Pico Moros 2062m MHz	119.11 km  EA4HIH
EA1/BU-004	29.39	-150.01	Campiña 2049m MHz	152.0 km  EA2EUS
EA1/BU-016	7.51	-172.22	Picón Blanco (1.520 m) MHz	255.61 km  EA1FOV/p
EA1/BU-030	15.13	-164.57	Muela 1375 MHz	142.88 km  EB1ESK
EA1/LE-023	-25.77	153.26	Agujas, 2143 m. MHz	270.94 km  EA1AER
EA1/LE-120	-33.32	145.48	Amargones - 1897m MHz	268.03 km  EA1FLU
EA1/SG-001	180.0	0.0	Peñalara 2428m MHz	0.0 km  EA4IFC, EA4IIJ
EA1/SG-005	-139.66	40.29	Siete Picos 2137 m MHz	9.96 km  EA9ADD
EA1/SG-017	-135.86	44.01	Cabeza Líjar (1822 m) MHz	24.8 km  EA4IZ
EA1/SO-007	41.15	-137.86	Cabezo de Piqueras, 1930 m MHz	189.4 km  EA2BD
EA1/SO-009	45.3	-133.59	ALTO DEL HAYEDO, 1719 m. MHz	194.56 km  EA2DNO, EA2DCA
EA2/NV-021	38.38	-140.02	Saioa 1417m MHz	314.59 km  EA2FDI
EA2/VI-006	26.33	-152.87	TOLOÑO 1269 MHz	220.46 km  EA2CON
EA3/BC-004	70.75	-105.48	Gallina Pelada, 2320m MHz	497.91 km  EA3AJ
EA3/GI-011	69.56	-106.55	Tossa d’Alp - 2.536 m MHz	514.19 km  EA3IKB
EA3/GI-016	76.57	-99.24	Matagalls 1697m MHz	541.09 km  EA3HIG
EA3/LL-050	69.93	-106.94	Castell de Sant Alis 1675 m. MHz	416.12 km  EA3HQR, EA3IED
EA3/TA-036	81.22	-95.23	Roca Ferrana (789 m) MHz	456.55 km  EA3GRW
EA4/GU-002	50.08	-129.61	Cerrón 2.196 metros MHz	52.74 km  EA4HGT
EA4/GU-050	64.8	-114.61	Alto Rey MHz	83.11 km  EA4DE
EA4/MD-002	160.95	-19.04	Cabezas de Hierro 2227 Metros MHz	5.95 km  EA4GDK, EA4IKY
EA4/MD-007	-173.41	6.58	Maliciosa 2227 MHz	9.27 km  EA4HOD
EA4/MD-012	44.9	-134.83	Tres Provincias. 2127 metros. MHz	49.5 km  EA4GVU
EA4/MD-029	61.9	-117.77	Porrejon. 1823m MHz	47.4 km  EA4BVW
EA4/MD-056	-169.78	10.19	Cabeza Mediana - 1330m MHz	18.58 km  EA4HNZ, EA4RCW, EA4HLP
EA5/AB-015	132.16	-45.97	Oliva, 1152 m MHz	343.16 km  EA5NU
EA5/AT-059	131.34	-46.63	Serra del Flare, 1044 m. MHz	368.7 km  EA5IYL

## FROM EA1/SG-005 - Siete Picos (2137 msnm) [10 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AV-009	-109.3	69.9	Pico Moros 2062m MHz	110.42 km  EA4HIH
EA1/BU-004	30.01	-149.34	Campiña 2049m MHz	161.8 km  EA2EUS
EA1/BU-016	8.63	-171.05	Picón Blanco (1.520 m) MHz	264.03 km  EA1FOV/p
EA1/BU-030	16.68	-162.97	Muela 1375 MHz	151.95 km  EB1ESK
EA1/LE-023	-23.93	155.16	Agujas, 2143 m. MHz	275.13 km  EA1AER
EA1/LE-120	-31.35	147.5	Amargones - 1897m MHz	271.0 km  EA1FLU
EA1/SG-001	40.29	-139.66	Peñalara 2428m MHz	9.96 km  EA4IFC, EA4IIJ
EA1/SG-005	180.0	0.0	Siete Picos 2137 m MHz	0.0 km  EA9ADD
EA1/SG-017	-133.37	46.55	Cabeza Líjar (1822 m) MHz	14.88 km  EA4IZ
EA1/SO-007	41.06	-137.9	Cabezo de Piqueras, 1930 m MHz	199.36 km  EA2BD
EA1/SO-009	45.01	-133.83	ALTO DEL HAYEDO, 1719 m. MHz	204.48 km  EA2DNO, EA2DCA
EA2/NV-021	38.39	-139.96	Saioa 1417m MHz	324.55 km  EA2FDI
EA2/VI-006	26.88	-152.27	TOLOÑO 1269 MHz	230.14 km  EA2CON
EA3/BC-004	70.13	-106.05	Gallina Pelada, 2320m MHz	506.53 km  EA3AJ
EA3/GI-011	68.98	-107.09	Tossa d’Alp - 2.536 m MHz	522.9 km  EA3IKB
EA3/GI-016	75.91	-99.86	Matagalls 1697m MHz	549.15 km  EA3HIG
EA3/LL-050	69.22	-107.6	Castell de Sant Alis 1675 m. MHz	424.81 km  EA3HQR, EA3IED
EA3/TA-036	80.37	-96.04	Roca Ferrana (789 m) MHz	464.13 km  EA3GRW
EA4/GU-002	48.49	-131.15	Cerrón 2.196 metros MHz	62.59 km  EA4HGT
EA4/GU-050	62.19	-117.17	Alto Rey MHz	92.27 km  EA4DE
EA4/MD-002	76.72	-103.22	Cabezas de Hierro 2227 Metros MHz	8.62 km  EA4GDK, EA4IKY
EA4/MD-007	106.63	-73.32	Maliciosa 2227 MHz	5.62 km  EA4HOD
EA4/MD-012	44.08	-135.59	Tres Provincias. 2127 metros. MHz	59.44 km  EA4GVU
EA4/MD-029	58.15	-121.47	Porrejon. 1823m MHz	56.79 km  EA4BVW
EA4/MD-056	163.53	-16.44	Cabeza Mediana - 1330m MHz	11.15 km  EA4HNZ, EA4RCW, EA4HLP
EA5/AB-015	130.45	-47.63	Oliva, 1152 m MHz	342.98 km  EA5NU
EA5/AT-059	129.75	-48.17	Serra del Flare, 1044 m. MHz	368.66 km  EA5IYL

## FROM EA1/SG-017 - Cabeza Líjar (1822 msnm) [8 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AV-009	-105.8	73.48	Pico Moros 2062m MHz	97.02 km  EA4HIH
EA1/BU-004	31.31	-147.96	Campiña 2049m MHz	176.1 km  EA2EUS
EA1/BU-016	10.45	-169.14	Picón Blanco (1.520 m) MHz	275.91 km  EA1FOV/p
EA1/BU-030	19.18	-160.39	Muela 1375 MHz	165.01 km  EB1ESK
EA1/LE-023	-21.15	158.02	Agujas, 2143 m. MHz	280.43 km  EA1AER
EA1/LE-120	-28.4	150.54	Amargones - 1897m MHz	274.49 km  EA1FLU
EA1/SG-001	44.01	-135.86	Peñalara 2428m MHz	24.8 km  EA4IFC, EA4IIJ
EA1/SG-005	46.55	-133.37	Siete Picos 2137 m MHz	14.88 km  EA9ADD
EA1/SG-017	180.0	0.0	Cabeza Líjar (1822 m) MHz	0.0 km  EA4IZ
EA1/SO-007	41.36	-137.51	Cabezo de Piqueras, 1930 m MHz	214.17 km  EA2BD
EA1/SO-009	45.04	-133.72	ALTO DEL HAYEDO, 1719 m. MHz	219.35 km  EA2DNO, EA2DCA
EA2/NV-021	38.67	-139.6	Saioa 1417m MHz	339.27 km  EA2FDI
EA2/VI-006	27.98	-151.09	TOLOÑO 1269 MHz	244.19 km  EA2CON
EA3/BC-004	69.39	-106.7	Gallina Pelada, 2320m MHz	520.2 km  EA3AJ
EA3/GI-011	68.29	-107.69	Tossa d’Alp - 2.536 m MHz	536.69 km  EA3IKB
EA3/GI-016	75.08	-100.6	Matagalls 1697m MHz	562.18 km  EA3HIG
EA3/LL-050	68.39	-108.35	Castell de Sant Alis 1675 m. MHz	438.59 km  EA3HQR, EA3IED
EA3/TA-036	79.29	-97.03	Roca Ferrana (789 m) MHz	476.57 km  EA3GRW
EA4/GU-002	48.05	-131.5	Cerrón 2.196 metros MHz	77.46 km  EA4HGT
EA4/GU-050	59.96	-119.32	Alto Rey MHz	106.68 km  EA4DE
EA4/MD-002	57.5	-122.36	Cabezas de Hierro 2227 Metros MHz	22.75 km  EA4GDK, EA4IKY
EA4/MD-007	61.94	-117.94	Maliciosa 2227 MHz	18.34 km  EA4HOD
EA4/MD-012	44.51	-135.08	Tres Provincias. 2127 metros. MHz	74.3 km  EA4GVU
EA4/MD-029	55.69	-123.85	Porrejon. 1823m MHz	71.43 km  EA4BVW
EA4/MD-056	91.88	-88.01	Cabeza Mediana - 1330m MHz	13.98 km  EA4HNZ, EA4RCW, EA4HLP
EA5/AB-015	127.91	-50.09	Oliva, 1152 m MHz	344.9 km  EA5NU
EA5/AT-059	127.38	-50.46	Serra del Flare, 1044 m. MHz	370.74 km  EA5IYL

## FROM EA1/SO-007 - La Lastra (1764 msnm) [8 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AV-009	-127.42	50.73	Pico Moros 2062m MHz	300.33 km  EA4HIH
EA1/BU-004	-100.51	79.08	Campiña 2049m MHz	51.05 km  EA2EUS
EA1/BU-016	-38.46	140.8	Picón Blanco (1.520 m) MHz	143.5 km  EA1FOV/p
EA1/BU-030	-92.08	87.21	Muela 1375 MHz	87.44 km  EB1ESK
EA1/LE-023	-66.29	111.71	Agujas, 2143 m. MHz	262.74 km  EA1AER
EA1/LE-120	-72.32	105.44	Amargones - 1897m MHz	283.73 km  EA1FLU
EA1/SG-001	-137.86	41.15	Peñalara 2428m MHz	189.4 km  EA4IFC, EA4IIJ
EA1/SG-005	-137.9	41.06	Siete Picos 2137 m MHz	199.36 km  EA9ADD
EA1/SG-017	-137.51	41.36	Cabeza Líjar (1822 m) MHz	214.17 km  EA4IZ
EA1/SO-007	180.0	0.0	Cabezo de Piqueras, 1930 m MHz	0.0 km  EA2BD
EA1/SO-009	113.92	-65.97	ALTO DEL HAYEDO, 1719 m. MHz	14.85 km  EA2DNO, EA2DCA
EA2/NV-021	35.21	-144.19	Saioa 1417m MHz	125.74 km  EA2FDI
EA2/VI-006	-25.01	154.77	TOLOÑO 1269 MHz	61.15 km  EA2CON
EA3/BC-004	87.4	-89.79	Gallina Pelada, 2320m MHz	346.08 km  EA3AJ
EA3/GI-011	85.07	-92.01	Tossa d’Alp - 2.536 m MHz	359.07 km  EA3IKB
EA3/GI-016	93.38	-83.38	Matagalls 1697m MHz	401.99 km  EA3HIG
EA3/LL-050	90.94	-86.9	Castell de Sant Alis 1675 m. MHz	266.22 km  EA3HQR, EA3IED
EA3/TA-036	103.56	-73.85	Roca Ferrana (789 m) MHz	334.58 km  EA3GRW
EA4/GU-002	-141.27	38.05	Cerrón 2.196 metros MHz	137.54 km  EA4HGT
EA4/GU-050	-154.26	25.33	Alto Rey MHz	118.07 km  EA4DE
EA4/MD-002	-139.39	39.63	Cabezas de Hierro 2227 Metros MHz	192.43 km  EA4GDK, EA4IKY
